Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
1,-94,-15,0,6,-70,2,4
1,-93,-12,1,6,-70,0,0
1,-93,-12,1,14,-72,2,4
1,-90,-10,4,12,-74,0,0
1,-90,-10,4,12,-74,0,0
1,-92,-15,-1,12,-71,0,6
1,-92,-15,-1,12,-71,17058,72
1,-92,-17,1,12,-71,0,0
1,-92,-17,1,12,-71,0,0
1,-90,-12,1,12,-71,0,0
1,-90,-12,1,12,-71,0,0
1,-91,-12,-2,12,-71,0,0
1,-93,-10,-2,12,-71,2,1
1,-93,-10,-2,12,-71,0,0
1,-94,-12,1,13,-73,0,0
1,-94,-12,1,9,-75,0,0
1,-94,-12,1,12,-71,0,0
1,-93,-12,-2,10,-73,0,0
1,-93,-12,-2,9,-71,0,0
1,-93,-16,-1,9,-71,2,4
1,-93,-16,-1,12,-73,0,0
1,-91,-14,-9,12,-73,0,0
1,-91,-14,-9,12,-73,0,0
1,-92,-11,-1,12,-73,0,0
1,-92,-11,-1,12,-70,0,0
1,-92,-14,-2,7,-72,0,0
1,-92,-14,-2,7,-72,0,0
1,-94,-14,2,7,-72,0,0
1,-94,-14,2,7,-72,0,0
1,-91,-11,3,7,-72,18,29
1,-91,-11,3,7,-72,0,0
1,-91,-12,-1,7,-72,0,0
1,-91,-12,-1,7,-72,0,0
1,-91,-14,2,12,-70,0,0
1,-91,-14,2,12,-70,2,1
1,-91,-15,1,12,-70,2,4
1,-91,-15,1,11,-72,0,0
1,-92,-17,-1,11,-72,2,4
1,-92,-17,-1,9,-70,0,0
1,-91,-18,-8,9,-70,2,4
1,-91,-18,-8,9,-70,0,0
1,-91,-20,-8,9,-70,0,0
1,-91,-20,-8,9,-70,0,0
1,-92,-16,2,12,-72,0,0
1,-92,-16,2,12,-72,0,0
1,-91,-18,2,12,-72,4284,31
1,-91,-18,2,12,-72,6838,25
1,-91,-14,2,12,-72,0,0
1,-91,-14,2,12,-72,0,0
1,-92,-15,-8,12,-72,0,0
1,-92,-15,-8,12,-72,0,0
1,-91,-13,-2,12,-72,0,0
1,-91,-13,-2,12,-72,0,0
1,-92,-13,-4,12,-72,0,0
1,-92,-13,-4,12,-72,0,0
1,-92,-14,5,12,-72,2,4
1,-92,-14,5,12,-72,2,4
1,-94,-13,-1,12,-72,0,0
1,-94,-13,-1,12,-72,2,4
1,-92,-12,-2,9,-70,0,0
1,-92,-12,-2,9,-70,0,0
1,-89,-16,0,9,-70,0,0
1,-89,-16,0,9,-70,0,0
1,-93,-13,0,9,-70,0,0
1,-93,-13,0,9,-70,0,0
1,-94,-15,-1,12,-72,0,0
1,-94,-15,-1,12,-72,0,0
1,-90,-10,2,12,-72,0,0
1,-90,-10,2,12,-72,0,0
1,-90,-11,-8,12,-72,0,0
1,-90,-11,-8,12,-72,56,31
1,-93,-11,4,12,-72,0,0
1,-93,-11,4,12,-72,0,0
1,-94,-12,-1,12,-72,0,0
1,-94,-12,-1,12,-72,2,4
1,-93,-14,3,12,-72,0,0
1,-93,-14,3,12,-72,2,4
1,-92,-14,1,12,-72,0,0
1,-92,-14,1,11,-70,2,4
1,-92,-11,0,11,-70,0,0
1,-92,-11,0,13,-73,0,0
1,-91,-11,2,12,-71,0,0
1,-91,-11,2,14,-73,0,0
1,-91,-11,3,15,-71,0,0
1,-91,-11,3,15,-71,15,26
1,-91,-13,-6,15,-71,0,0
1,-91,-13,-6,15,-74,0,0
1,-92,-11,5,13,-71,6170,37
1,-92,-11,5,12,-73,7001,16
1,-92,-13,0,12,-70,0,0
1,-92,-13,0,12,-72,0,0
1,-95,-13,1,15,-78,0,0
1,-96,-14,-6,12,-74,0,0
1,-96,-14,-6,9,-72,0,0
1,-93,-12,3,7,-75,0,0
1,-93,-12,3,15,-73,2,4
1,-92,-12,0,15,-73,0,0
1,-92,-12,0,12,-75,2,4
1,-93,-12,-10,7,-72,0,0
1,-93,-12,-10,7,-72,2,4
1,-93,-12,-5,7,-72,0,0
1,-93,-12,-5,7,-72,0,0
1,-93,-13,-9,7,-72,0,0
1,-93,-13,-9,7,-72,0,0
1,-90,-11,7,7,-72,0,0
1,-90,-11,7,7,-72,0,0
1,-91,-12,2,7,-72,0,0
1,-91,-12,2,12,-74,0,0
1,-92,-12,3,7,-72,0,0
1,-92,-12,3,7,-76,0,0
1,-91,-14,-8,9,-74,0,0
1,-91,-14,-8,8,-72,0,0
1,-91,-17,-8,8,-72,0,0
1,-91,-17,-8,8,-72,24730,121
1,-92,-14,-3,8,-75,0,0
1,-92,-14,-3,13,-71,497,38
1,-93,-11,2,13,-71,0,0
1,-93,-11,2,13,-71,0,2
1,-94,-14,-1,13,-71,2,4
1,-94,-14,-1,13,-71,0,0
1,-93,-11,-2,9,-73,0,0
1,-93,-11,-2,9,-73,0,0
1,-94,-12,0,9,-73,0,0
1,-94,-12,0,12,-71,26,27
1,-94,-12,-3,12,-71,0,0
1,-94,-12,-3,12,-71,0,0
1,-94,-13,-1,12,-71,46,16
1,-94,-13,-1,12,-71,0,0
1,-92,-19,-8,12,-71,0,0
1,-92,-19,-8,12,-71,0,0
1,-92,-20,-12,12,-71,0,0
1,-92,-20,-12,12,-71,0,0
1,-90,-17,-9,12,-71,0,0
1,-90,-17,-9,12,-71,0,0
1,-91,-12,-1,12,-71,2,4
1,-91,-12,-1,12,-71,0,0
